package,old,new,delta
REDCapTidieR,0.1.2,0.1.2,
crayon,NA,1.5.2,*
jsonlite,NA,1.8.2,*
readr,NA,2.1.3,*
vctrs,NA,0.4.2,*
vroom,NA,1.6.0,*
